% Measurement ID: 1600
% Mode ID: S
% Date and time: 2020-07-14 08:13:12
% Sample ID: SPT08-13
% Measurement type: spectrum
% Frequency [Hz]: 1434987.261201163
% Quality factor: 167424.65369223492
% Temperature [K]: 293.0
% Pressure [mBar]: 1.18e-08
% Notes: 
% Unable to excite. Average over 40 spectra.
%
% measurement data
% frequency [Hz], power [dBm]
1434966.0, -120.1576
1434966.0, -119.798
1434966.0, -119.3618
1434966.0, -119.24
1434966.0, -119.3023
1434966.0, -119.1406
1434966.0, -118.8911
1434967.0, -118.8491
1434967.0, -118.9163
1434967.0, -119.2675
1434967.0, -119.3991
1434967.0, -119.3109
1434967.0, -119.3141
1434967.0, -119.3051
1434967.0, -119.227
1434968.0, -119.0989
1434968.0, -119.0185
1434968.0, -118.9532
1434968.0, -118.7585
1434968.0, -118.5938
1434968.0, -118.459
1434968.0, -118.378
1434969.0, -118.3429
1434969.0, -118.485
1434969.0, -118.7604
1434969.0, -118.9235
1434969.0, -119.0561
1434969.0, -118.8723
1434969.0, -118.4674
1434969.0, -117.5106
1434970.0, -116.9331
1434970.0, -116.7348
1434970.0, -116.579
1434970.0, -116.5779
1434970.0, -116.4998
1434970.0, -116.4218
1434970.0, -116.5813
1434971.0, -116.8991
1434971.0, -117.4292
1434971.0, -118.1536
1434971.0, -118.9881
1434971.0, -118.9583
1434971.0, -118.0642
1434971.0, -117.4757
1434971.0, -116.8028
1434972.0, -116.5104
1434972.0, -116.4436
1434972.0, -116.4422
1434972.0, -116.5595
1434972.0, -116.6116
1434972.0, -116.6598
1434972.0, -117.056
1434973.0, -117.1785
1434973.0, -117.0272
1434973.0, -116.8121
1434973.0, -116.4631
1434973.0, -116.353
1434973.0, -116.3576
1434973.0, -116.5361
1434973.0, -116.8687
1434974.0, -116.7871
1434974.0, -116.4808
1434974.0, -116.2673
1434974.0, -116.4049
1434974.0, -116.8937
1434974.0, -116.9834
1434974.0, -116.9241
1434975.0, -116.9302
1434975.0, -116.9304
1434975.0, -116.4595
1434975.0, -115.6727
1434975.0, -115.4635
1434975.0, -115.5342
1434975.0, -114.3373
1434975.0, -113.8396
1434976.0, -114.0411
1434976.0, -113.863
1434976.0, -113.6649
1434976.0, -113.6411
1434976.0, -113.7267
1434976.0, -113.9423
1434976.0, -114.281
1434977.0, -114.3235
1434977.0, -114.2097
1434977.0, -113.1478
1434977.0, -112.7962
1434977.0, -113.1548
1434977.0, -112.7973
1434977.0, -112.1992
1434977.0, -111.8343
1434978.0, -111.5448
1434978.0, -111.5038
1434978.0, -111.6536
1434978.0, -111.8117
1434978.0, -112.0389
1434978.0, -112.9769
1434978.0, -113.0698
1434979.0, -112.3174
1434979.0, -112.055
1434979.0, -111.8377
1434979.0, -111.6473
1434979.0, -111.49
1434979.0, -111.3396
1434979.0, -111.2047
1434979.0, -111.0104
1434980.0, -110.7817
1434980.0, -111.0168
1434980.0, -110.8534
1434980.0, -110.2916
1434980.0, -110.0752
1434980.0, -109.9563
1434980.0, -109.6555
1434981.0, -109.2661
1434981.0, -109.125
1434981.0, -109.12
1434981.0, -108.8137
1434981.0, -108.3519
1434981.0, -108.5603
1434981.0, -108.8952
1434981.0, -109.3568
1434982.0, -109.0431
1434982.0, -108.2547
1434982.0, -108.0418
1434982.0, -108.0542
1434982.0, -107.8187
1434982.0, -107.4932
1434982.0, -107.3588
1434983.0, -107.3218
1434983.0, -107.7521
1434983.0, -107.7094
1434983.0, -107.1938
1434983.0, -106.8566
1434983.0, -106.4808
1434983.0, -105.981
1434983.0, -105.3857
1434984.0, -105.0749
1434984.0, -104.9218
1434984.0, -104.7455
1434984.0, -104.6064
1434984.0, -104.1349
1434984.0, -103.8338
1434984.0, -103.7031
1434985.0, -103.2958
1434985.0, -102.7611
1434985.0, -102.5896
1434985.0, -102.6178
1434985.0, -102.7591
1434985.0, -103.0424
1434985.0, -103.1911
1434985.0, -103.2975
1434986.0, -102.5575
1434986.0, -102.0957
1434986.0, -101.9121
1434986.0, -101.527
1434986.0, -101.1002
1434986.0, -100.9911
1434986.0, -101.0799
1434987.0, -100.8867
1434987.0, -100.5714
1434987.0, -100.9583
1434987.0, -100.8739
1434987.0, -100.3184
1434987.0, -100.2292
1434987.0, -100.2939
1434987.0, -100.3931
1434988.0, -100.5665
1434988.0, -100.8771
1434988.0, -101.3038
1434988.0, -101.477
1434988.0, -101.52
1434988.0, -101.9517
1434988.0, -102.0487
1434989.0, -101.8111
1434989.0, -101.5494
1434989.0, -101.1602
1434989.0, -101.0482
1434989.0, -101.0785
1434989.0, -101.2848
1434989.0, -101.6559
1434989.0, -102.3257
1434990.0, -103.2495
1434990.0, -103.1392
1434990.0, -103.517
1434990.0, -104.3831
1434990.0, -104.7158
1434990.0, -104.8557
1434990.0, -105.2917
1434991.0, -105.8608
1434991.0, -106.0075
1434991.0, -105.9171
1434991.0, -105.7019
1434991.0, -105.3245
1434991.0, -105.9644
1434991.0, -106.302
1434991.0, -106.3371
1434992.0, -106.4662
