% Measurement ID: 1660
% Mode ID: S
% Date and time: 2020-07-15 09:38:14
% Sample ID: SPT10-78-12
% Measurement type: spectrum
% Frequency [Hz]: 1449361.401605077
% Quality factor: 104882.8356056415
% Temperature [K]: 293.0
% Pressure [mBar]: 5.94e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1449345.0, -121.8946
1449345.0, -121.7208
1449345.0, -121.6009
1449345.0, -121.5012
1449345.0, -121.4329
1449346.0, -121.1026
1449346.0, -120.6082
1449346.0, -120.04
1449346.0, -119.7718
1449346.0, -119.8039
1449346.0, -120.0057
1449346.0, -120.4208
1449346.0, -120.8402
1449347.0, -121.3334
1449347.0, -122.0571
1449347.0, -122.959
1449347.0, -123.2631
1449347.0, -123.1578
1449347.0, -122.6432
1449347.0, -122.1095
1449348.0, -121.4267
1449348.0, -120.8407
1449348.0, -120.2697
1449348.0, -119.7508
1449348.0, -119.2718
1449348.0, -118.8427
1449348.0, -118.4602
1449348.0, -118.3163
1449349.0, -118.4556
1449349.0, -118.8782
1449349.0, -119.2443
1449349.0, -119.667
1449349.0, -119.952
1449349.0, -120.1641
1449349.0, -119.9488
1449350.0, -119.4242
1449350.0, -119.2277
1449350.0, -119.1468
1449350.0, -118.446
1449350.0, -118.1783
1449350.0, -118.3438
1449350.0, -118.5084
1449350.0, -118.8167
1449351.0, -118.7572
1449351.0, -118.5005
1449351.0, -118.3782
1449351.0, -118.2798
1449351.0, -118.1937
1449351.0, -118.1237
1449351.0, -118.4112
1449352.0, -118.7082
1449352.0, -119.0149
1449352.0, -118.8736
1449352.0, -118.4369
1449352.0, -118.1719
1449352.0, -117.9228
1449352.0, -117.7845
1449352.0, -117.7255
1449353.0, -117.2656
1449353.0, -116.5647
1449353.0, -115.5028
1449353.0, -114.9648
1449353.0, -114.9506
1449353.0, -114.8542
1449353.0, -114.8777
1449354.0, -114.7646
1449354.0, -114.6004
1449354.0, -114.4069
1449354.0, -114.1768
1449354.0, -114.0458
1449354.0, -113.9688
1449354.0, -113.6809
1449354.0, -113.7819
1449355.0, -114.2716
1449355.0, -114.1341
1449355.0, -113.708
1449355.0, -113.0777
1449355.0, -112.2149
1449355.0, -111.8958
1449355.0, -111.8616
1449356.0, -111.716
1449356.0, -111.591
1449356.0, -110.9829
1449356.0, -110.6301
1449356.0, -110.5324
1449356.0, -110.2779
1449356.0, -110.0038
1449356.0, -109.7152
1449357.0, -109.4103
1449357.0, -108.9709
1449357.0, -108.4364
1449357.0, -108.1759
1449357.0, -108.0663
1449357.0, -107.6653
1449357.0, -107.2958
1449358.0, -106.9578
1449358.0, -106.8741
1449358.0, -106.9705
1449358.0, -107.0525
1449358.0, -107.185
1449358.0, -107.4198
1449358.0, -107.7398
1449358.0, -108.0039
1449359.0, -108.2591
1449359.0, -108.998
1449359.0, -109.0962
1449359.0, -108.5539
1449359.0, -108.55
1449359.0, -108.6916
1449359.0, -108.8061
1449360.0, -108.9512
1449360.0, -109.0161
1449360.0, -109.0378
1449360.0, -108.9032
1449360.0, -108.6502
1449360.0, -108.2759
1449360.0, -107.9752
1449360.0, -107.7481
1449361.0, -107.4878
1449361.0, -107.2299
1449361.0, -107.1719
1449361.0, -107.2478
1449361.0, -107.4168
1449361.0, -107.6925
1449361.0, -108.0474
1449362.0, -108.4905
1449362.0, -108.5883
1449362.0, -108.7804
1449362.0, -109.0667
1449362.0, -109.2035
1449362.0, -109.2721
1449362.0, -109.4596
1449362.0, -109.7035
1449363.0, -109.6193
1449363.0, -109.3351
1449363.0, -109.041
1449363.0, -108.6736
1449363.0, -107.8689
1449363.0, -107.4354
1449363.0, -107.373
1449364.0, -107.1191
1449364.0, -106.8614
1449364.0, -106.8273
