% Measurement ID: 1726
% Mode ID: S
% Date and time: 2020-07-15 08:26:28
% Sample ID: SPT10-27
% Measurement type: spectrum
% Frequency [Hz]: 1404839.420081828
% Quality factor: 55568.35988572393
% Temperature [K]: 293.0
% Pressure [mBar]: 6.35e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1404830.0, -111.2559
1404830.0, -110.8743
1404830.0, -110.1543
1404830.0, -109.8815
1404830.0, -109.7941
1404831.0, -109.579
1404831.0, -109.3405
1404831.0, -109.9771
1404831.0, -109.94
1404831.0, -109.2294
1404831.0, -109.2176
1404831.0, -109.4472
1404831.0, -109.4067
1404832.0, -109.2666
1404832.0, -109.1503
1404832.0, -109.0165
1404832.0, -109.1812
1404832.0, -109.3384
1404832.0, -109.4883
1404832.0, -109.2129
1404833.0, -108.6516
1404833.0, -108.3539
1404833.0, -108.1368
1404833.0, -108.0639
1404833.0, -108.1139
1404833.0, -107.9923
1404833.0, -107.7972
1404833.0, -108.23
1404834.0, -108.5138
1404834.0, -108.6486
1404834.0, -109.1124
1404834.0, -109.7458
1404834.0, -109.8036
1404834.0, -109.5341
1404834.0, -109.2261
1404835.0, -108.7833
1404835.0, -108.5704
1404835.0, -108.4659
1404835.0, -108.0083
1404835.0, -107.5341
1404835.0, -107.0432
1404835.0, -106.7135
1404835.0, -106.4857
1404836.0, -106.4656
1404836.0, -106.6179
1404836.0, -106.7302
1404836.0, -106.8733
1404836.0, -106.95
1404836.0, -106.9927
1404836.0, -107.246
1404837.0, -107.3876
1404837.0, -107.4175
1404837.0, -107.4959
1404837.0, -107.5693
1404837.0, -107.8251
1404837.0, -108.2008
1404837.0, -108.2049
1404837.0, -108.0012
1404838.0, -108.1085
1404838.0, -108.3538
1404838.0, -107.6643
1404838.0, -107.3335
1404838.0, -107.3616
1404838.0, -107.1773
1404838.0, -106.9712
1404839.0, -106.8429
1404839.0, -106.7593
1404839.0, -106.655
1404839.0, -106.5519
1404839.0, -106.5599
1404839.0, -106.6423
1404839.0, -106.8893
1404839.0, -106.9485
1404840.0, -106.8199
1404840.0, -107.0382
1404840.0, -107.425
1404840.0, -107.5965
1404840.0, -107.6807
1404840.0, -107.5342
1404840.0, -107.2048
1404841.0, -107.0628
1404841.0, -106.9848
1404841.0, -106.6947
1404841.0, -106.529
1404841.0, -106.4876
1404841.0, -106.4358
1404841.0, -106.4184
1404841.0, -106.5553
1404842.0, -106.8064
1404842.0, -106.9189
1404842.0, -106.977
1404842.0, -106.9145
1404842.0, -106.7535
1404842.0, -106.8648
1404842.0, -106.9474
1404843.0, -107.0012
1404843.0, -107.0316
1404843.0, -107.037
1404843.0, -107.0633
1404843.0, -107.0952
1404843.0, -107.1296
1404843.0, -107.1677
1404843.0, -107.0938
1404844.0, -106.9464
1404844.0, -106.8253
1404844.0, -106.8133
1404844.0, -106.9106
1404844.0, -107.0237
1404844.0, -107.1838
1404844.0, -107.3828
1404845.0, -107.6234
1404845.0, -107.9386
1404845.0, -108.3172
1404845.0, -108.5666
1404845.0, -108.7509
1404845.0, -108.5719
1404845.0, -108.4396
1404845.0, -108.354
1404846.0, -108.2907
1404846.0, -108.2578
1404846.0, -108.3791
1404846.0, -108.6132
1404846.0, -108.6365
1404846.0, -108.5569
1404846.0, -108.6716
1404847.0, -108.8816
1404847.0, -109.0738
1404847.0, -109.2537
1404847.0, -109.4212
1404847.0, -109.4262
1404847.0, -109.3187
1404847.0, -109.1167
1404847.0, -108.8143
1404848.0, -108.5959
1404848.0, -108.4001
1404848.0, -108.5521
1404848.0, -108.9437
1404848.0, -108.8536
1404848.0, -108.933
1404848.0, -109.1816
1404849.0, -109.5349
1404849.0, -110.0143
1404849.0, -110.2453
1404849.0, -110.3528
1404849.0, -110.4115
1404849.0, -110.3966
1404849.0, -110.351
1404849.0, -110.2605
1404850.0, -110.8672
1404850.0, -111.0625
1404850.0, -110.8462
1404850.0, -111.0825
1404850.0, -111.4835
1404850.0, -111.5554
1404850.0, -111.4628
1404851.0, -111.6369
1404851.0, -111.9338
1404851.0, -112.0392
1404851.0, -112.1921
1404851.0, -112.3926
1404851.0, -112.4627
1404851.0, -112.4619
1404851.0, -112.5003
1404852.0, -112.5412
1404852.0, -112.3064
1404852.0, -111.8886
1404852.0, -111.8141
1404852.0, -111.9076
1404852.0, -112.5545
1404852.0, -112.7896
1404853.0, -112.6129
1404853.0, -112.7487
1404853.0, -112.9556
1404853.0, -113.3463
1404853.0, -113.8831
1404853.0, -113.9801
1404853.0, -113.8327
1404853.0, -113.868
1404854.0, -113.9435
1404854.0, -114.1042
1404854.0, -114.2401
1404854.0, -114.3512
1404854.0, -114.0413
1404854.0, -113.4426
1404854.0, -113.2294
1404855.0, -113.1768
1404855.0, -113.2671
1404855.0, -113.5061
1404855.0, -113.7347
1404855.0, -114.0058
1404855.0, -114.0024
1404855.0, -114.0536
1404855.0, -114.1594
1404856.0, -114.2797
1404856.0, -114.4278
1404856.0, -114.4172
1404856.0, -114.31
1404856.0, -114.2387
1404856.0, -114.1593
1404856.0, -114.2316
1404857.0, -114.4024
1404857.0, -114.6422
1404857.0, -114.7676
1404857.0, -114.7785
1404857.0, -114.8135
1404857.0, -114.8265
1404857.0, -114.9366
1404857.0, -115.1041
1404858.0, -115.1746
1404858.0, -115.1996
1404858.0, -114.9007
1404858.0, -114.3707
1404858.0, -114.6188
1404858.0, -114.9095
1404858.0, -115.2428
1404859.0, -115.3105
1404859.0, -115.2155
1404859.0, -115.0599
