% Measurement ID: 1617
% Mode ID: S
% Date and time: 2020-07-14 08:55:16
% Sample ID: SPT08-48-11
% Measurement type: spectrum
% Frequency [Hz]: 1431036.1747789662
% Quality factor: 62044.30632764199
% Temperature [K]: nan
% Pressure [mBar]: 1.18e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1431012.0, -111.8238
1431012.0, -111.7989
1431012.0, -111.5937
1431012.0, -111.4339
1431012.0, -111.2442
1431013.0, -111.1164
1431013.0, -111.0198
1431013.0, -111.466
1431013.0, -111.7602
1431013.0, -111.9025
1431013.0, -112.0237
1431013.0, -112.0803
1431013.0, -111.9841
1431014.0, -111.7645
1431014.0, -111.6198
1431014.0, -111.484
1431014.0, -110.9486
1431014.0, -110.756
1431014.0, -110.9062
1431014.0, -110.7284
1431015.0, -110.4462
1431015.0, -110.1573
1431015.0, -109.8292
1431015.0, -109.9081
1431015.0, -110.2452
1431015.0, -110.5305
1431015.0, -110.8672
1431015.0, -111.2511
1431016.0, -111.3818
1431016.0, -111.2594
1431016.0, -111.2839
1431016.0, -111.322
1431016.0, -111.7837
1431016.0, -112.5324
1431016.0, -112.3285
1431017.0, -111.585
1431017.0, -111.1129
1431017.0, -110.6418
1431017.0, -110.1266
1431017.0, -109.7795
1431017.0, -109.6005
1431017.0, -109.5325
1431017.0, -109.5946
1431018.0, -109.6597
1431018.0, -109.7701
1431018.0, -109.6592
1431018.0, -109.4159
1431018.0, -109.4005
1431018.0, -109.493
1431018.0, -109.6774
1431019.0, -109.7032
1431019.0, -109.5706
1431019.0, -109.7565
1431019.0, -110.1018
1431019.0, -110.1933
1431019.0, -110.1688
1431019.0, -110.3773
1431019.0, -110.7025
1431020.0, -110.6613
1431020.0, -110.4149
1431020.0, -110.4474
1431020.0, -110.2649
1431020.0, -109.8674
1431020.0, -109.5205
1431020.0, -109.1355
1431021.0, -108.8318
1431021.0, -108.5694
1431021.0, -108.3812
1431021.0, -108.2564
1431021.0, -108.3228
1431021.0, -108.5379
1431021.0, -108.2759
1431021.0, -108.1661
1431022.0, -108.2086
1431022.0, -108.3384
1431022.0, -108.5772
1431022.0, -108.3486
1431022.0, -107.8445
1431022.0, -107.577
1431022.0, -107.3752
1431023.0, -107.4943
1431023.0, -107.8493
1431023.0, -107.4359
1431023.0, -107.3417
1431023.0, -107.5667
1431023.0, -107.4596
1431023.0, -107.2375
1431023.0, -107.1811
1431024.0, -107.1968
1431024.0, -107.176
1431024.0, -107.155
1431024.0, -107.0784
1431024.0, -106.9647
1431024.0, -107.0502
1431024.0, -106.9626
1431025.0, -106.7019
1431025.0, -106.7591
1431025.0, -106.9705
1431025.0, -106.522
1431025.0, -105.6849
1431025.0, -105.3043
1431025.0, -105.0984
1431025.0, -105.0339
1431026.0, -105.122
1431026.0, -105.4241
1431026.0, -105.3044
1431026.0, -104.7631
1431026.0, -104.571
1431026.0, -104.4713
1431026.0, -104.438
1431027.0, -104.4798
1431027.0, -104.6206
1431027.0, -104.8525
1431027.0, -105.1335
1431027.0, -105.4776
1431027.0, -105.82
1431027.0, -105.9937
1431027.0, -105.9986
1431028.0, -105.9693
1431028.0, -105.8608
1431028.0, -105.4752
1431028.0, -104.8784
1431028.0, -104.52
1431028.0, -104.25
1431028.0, -104.4807
1431029.0, -105.0745
1431029.0, -104.602
1431029.0, -104.3069
1431029.0, -104.1892
1431029.0, -104.3594
1431029.0, -104.7807
1431029.0, -105.0946
1431029.0, -105.4207
1431030.0, -105.4475
1431030.0, -105.2787
1431030.0, -105.158
1431030.0, -105.0041
1431030.0, -105.0255
1431030.0, -104.6781
1431030.0, -103.9622
1431031.0, -103.5994
1431031.0, -103.3492
1431031.0, -103.0525
1431031.0, -102.7623
1431031.0, -102.6148
1431031.0, -102.5648
1431031.0, -102.4806
1431031.0, -102.4061
1431032.0, -102.1936
1431032.0, -102.0361
1431032.0, -101.9338
1431032.0, -101.8589
1431032.0, -101.8206
1431032.0, -101.9277
1431032.0, -102.1438
1431033.0, -102.214
1431033.0, -102.2231
1431033.0, -102.1631
1431033.0, -101.9212
1431033.0, -101.4975
1431033.0, -101.4596
1431033.0, -101.6182
1431033.0, -101.9236
1431034.0, -102.3924
1431034.0, -102.5644
1431034.0, -102.5931
1431034.0, -102.6317
1431034.0, -102.6293
1431034.0, -102.9543
1431034.0, -103.0072
1431035.0, -102.7882
1431035.0, -102.7163
1431035.0, -102.6519
1431035.0, -102.3879
1431035.0, -101.9933
1431035.0, -101.7006
1431035.0, -101.4325
1431035.0, -101.3158
1431036.0, -101.3084
