% Measurement ID: 3155
% Mode ID: 1
% Date and time: 2020-02-03 17:27:30
% Sample ID: PSE2-67
% Measurement type: spectrum
% Frequency [Hz]: 57951.52483731631
% Quality factor: 4012.898461763836
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
57901.75, -89.82226
57901.75, -90.06089
57901.75, -90.17379
57901.75, -90.16094
57902.75, -90.20025
57902.75, -90.23242
57902.75, -90.30131
57902.75, -90.3923
57902.75, -90.31953
57902.75, -90.14494
57902.75, -89.91347
57902.75, -89.82406
57903.75, -89.8767
57903.75, -89.74778
57903.75, -89.54519
57903.75, -89.50219
57903.75, -89.54103
57903.75, -89.47786
57903.75, -89.37398
57904.75, -89.38036
57904.75, -89.4467
57904.75, -89.53345
57904.75, -89.85443
57904.75, -90.40965
57904.75, -90.36319
57904.75, -89.99368
57904.75, -89.80334
57905.75, -89.62476
57905.75, -89.51795
57905.75, -89.4629
57905.75, -89.39316
57905.75, -89.33086
57905.75, -89.35091
57905.75, -89.55249
57906.75, -89.9356
57906.75, -90.15143
57906.75, -90.31625
57906.75, -90.55278
57906.75, -90.82012
57906.75, -90.63404
57906.75, -90.15595
57906.75, -89.7982
57907.75, -89.42332
57907.75, -89.09482
57907.75, -89.0604
57907.75, -89.32006
57907.75, -89.65298
57907.75, -90.13278
57907.75, -90.65692
57908.75, -91.25957
57908.75, -91.29835
57908.75, -90.98738
57908.75, -90.49575
57908.75, -89.76709
57908.75, -89.12048
57908.75, -88.76404
57908.75, -88.69776
57909.75, -88.50124
57909.75, -88.31461
57909.75, -88.40802
57909.75, -88.69142
57909.75, -88.82489
57909.75, -88.92174
57909.75, -88.65714
57910.75, -88.13935
57910.75, -88.36749
57910.75, -88.46498
57910.75, -88.4318
57910.75, -88.71415
57910.75, -89.16329
57910.75, -89.24261
57910.75, -89.13098
57911.75, -89.13898
57911.75, -89.16308
57911.75, -89.07558
57911.75, -88.91904
57911.75, -88.70545
57911.75, -88.51124
57911.75, -88.33643
57912.75, -88.18496
57912.75, -88.05551
57912.75, -88.2411
57912.75, -88.64405
57912.75, -88.78408
57912.75, -88.82128
57912.75, -88.88878
57912.75, -88.94221
57913.75, -89.38634
57913.75, -89.49279
57913.75, -89.26157
57913.75, -89.03824
57913.75, -88.70763
57913.75, -88.50464
57913.75, -88.35097
57914.75, -88.06555
57914.75, -87.70873
57914.75, -87.5376
57914.75, -87.46646
57914.75, -87.11749
57914.75, -86.98711
57914.75, -87.07531
57914.75, -87.25381
57915.75, -87.56536
57915.75, -87.51449
57915.75, -87.26637
57915.75, -87.19895
57915.75, -87.18627
57915.75, -87.15892
57915.75, -87.14004
57916.75, -87.97562
57916.75, -88.63878
57916.75, -89.12952
57916.75, -89.13094
57916.75, -88.74866
57916.75, -88.55738
57916.75, -88.36552
57916.75, -88.2325
57917.75, -88.13852
57917.75, -88.2855
57917.75, -88.60613
57917.75, -88.38141
57917.75, -88.17602
57917.75, -87.98996
57917.75, -88.14392
57918.75, -88.53101
57918.75, -88.81136
57918.75, -89.09825
57918.75, -89.09552
57918.75, -88.9019
57918.75, -88.43557
57918.75, -87.72379
57918.75, -87.32745
57919.75, -86.95193
57919.75, -86.59721
57919.75, -86.39739
57919.75, -86.30778
57919.75, -86.13064
57919.75, -85.9319
57919.75, -85.88948
57920.75, -85.94406
57920.75, -85.8918
57920.75, -86.01512
57920.75, -86.31401
57920.75, -86.55414
57920.75, -86.81362
57920.75, -86.92917
57920.75, -86.95522
57921.75, -86.82468
57921.75, -86.55992
57921.75, -86.36464
57921.75, -86.17095
57921.75, -85.89035
57921.75, -85.91483
57921.75, -86.2444
57922.75, -86.62398
57922.75, -87.13858
57922.75, -87.00678
57922.75, -86.48906
57922.75, -86.35068
57922.75, -86.33655
57922.75, -86.34585
57922.75, -86.41219
57923.75, -86.3644
57923.75, -86.27242
57923.75, -86.13625
57923.75, -86.19076
57923.75, -86.35764
57923.75, -86.32918
57923.75, -86.20794
57924.75, -86.20426
57924.75, -86.24804
57924.75, -86.33662
57924.75, -86.47088
57924.75, -86.56781
57924.75, -86.5479
57924.75, -86.41115
57924.75, -86.39507
57925.75, -86.4205
57925.75, -86.47882
57925.75, -86.5729
57925.75, -86.49701
57925.75, -86.31972
57925.75, -86.27997
57925.75, -86.29811
57926.75, -86.17469
57926.75, -85.91116
57926.75, -85.50751
57926.75, -85.20739
57926.75, -84.92958
57926.75, -84.74463
57926.75, -84.62902
57926.75, -84.66298
57927.75, -84.81977
57927.75, -84.89901
57927.75, -84.9675
57927.75, -85.40009
57927.75, -85.72402
57927.75, -85.93928
57927.75, -86.14638
57928.75, -86.31183
57928.75, -86.51571
57928.75, -86.73133
57928.75, -86.68342
57928.75, -86.46371
57928.75, -86.14727
57928.75, -85.70906
57928.75, -85.53453
57929.75, -85.25548
57929.75, -84.87192
57929.75, -84.3436
57929.75, -83.68394
57929.75, -83.52921
57929.75, -83.66732
57929.75, -83.62488
57930.75, -83.55969
57930.75, -83.3352
57930.75, -82.99692
57930.75, -83.06507
57930.75, -83.25581
57930.75, -83.56914
57930.75, -83.84802
57930.75, -84.14479
57931.75, -84.37134
57931.75, -84.55703
57931.75, -85.00247
57931.75, -85.60746
57931.75, -85.68924
57931.75, -85.47541
57931.75, -85.11544
57932.75, -84.60489
57932.75, -83.94377
57932.75, -83.63933
57932.75, -83.5225
57932.75, -83.60128
57932.75, -83.87302
57932.75, -84.0544
57932.75, -84.23985
57933.75, -84.12516
57933.75, -83.81172
57933.75, -83.17021
57933.75, -82.99193
57933.75, -83.2769
57933.75, -83.23122
57933.75, -83.11951
57934.75, -83.20385
57934.75, -83.39689
57934.75, -83.35088
57934.75, -83.18174
57934.75, -83.37695
57934.75, -83.77401
57934.75, -83.90294
57934.75, -83.86703
57935.75, -83.66628
57935.75, -83.30251
57935.75, -82.77511
57935.75, -82.70914
57935.75, -82.89625
57935.75, -82.91778
57935.75, -82.91329
57936.75, -82.69982
57936.75, -82.33836
57936.75, -82.51103
57936.75, -82.52827
57936.75, -82.3901
57936.75, -82.19858
57936.75, -81.91969
57936.75, -81.90078
57937.75, -82.02607
57937.75, -81.72727
57937.75, -81.19381
57937.75, -81.40107
57937.75, -81.45274
57937.75, -81.34881
57937.75, -81.35424
57938.75, -81.38071
57938.75, -81.2409
57938.75, -80.99725
57938.75, -80.64225
57938.75, -80.17839
57938.75, -80.00739
57938.75, -79.99534
57938.75, -80.22057
57939.75, -80.16021
57939.75, -79.81426
57939.75, -79.5515
57939.75, -79.249
57939.75, -79.05125
57939.75, -78.91011
57939.75, -78.88614
57940.75, -78.95914
57940.75, -79.12567
57940.75, -79.38686
57940.75, -79.01878
57940.75, -78.7772
57940.75, -78.66212
57940.75, -78.70029
57940.75, -78.88278
57941.75, -79.04626
57941.75, -79.24515
57941.75, -79.08775
57941.75, -78.70461
