% Measurement ID: 3227
% Mode ID: 1
% Date and time: 2020-02-03 15:10:30
% Sample ID: PSE2-58-14
% Measurement type: spectrum
% Frequency [Hz]: 113540.01645150511
% Quality factor: -8600.395394455787
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
113493.0, -92.19225
113494.0, -92.30029
113494.0, -92.62994
113495.0, -92.834
113495.0, -92.84534
113495.0, -92.42758
113496.0, -92.22
113496.0, -92.22259
113497.0, -92.26237
113497.0, -92.01042
113497.0, -91.90822
113498.0, -91.82493
113498.0, -91.76055
113499.0, -91.93132
113499.0, -91.97174
113499.0, -91.85774
113500.0, -91.70505
113500.0, -91.64304
113501.0, -91.67168
113501.0, -91.53029
113501.0, -91.51467
113502.0, -91.71397
113502.0, -91.80298
113503.0, -91.78169
113503.0, -91.68455
113503.0, -91.81061
113504.0, -92.02919
113504.0, -92.17389
113505.0, -92.24051
113505.0, -92.22904
113505.0, -92.21733
113506.0, -92.00431
113506.0, -92.11678
113507.0, -92.09196
113507.0, -91.92983
113507.0, -91.56434
113508.0, -91.34415
113508.0, -91.1009
113509.0, -90.89943
113509.0, -90.89161
113509.0, -91.07742
113510.0, -91.45561
113510.0, -91.72471
113511.0, -91.64756
113511.0, -91.67922
113511.0, -91.81969
113512.0, -91.99751
113512.0, -92.08239
113513.0, -91.94886
113513.0, -91.71108
113513.0, -91.5863
113514.0, -91.57449
113514.0, -91.88101
113515.0, -92.0401
113515.0, -91.88419
113515.0, -91.79457
113516.0, -91.77125
113516.0, -91.91485
113517.0, -92.20395
113517.0, -92.528
113517.0, -92.64514
113518.0, -92.60019
113518.0, -92.39315
113519.0, -92.3233
113519.0, -91.73465
113519.0, -91.82878
113520.0, -91.84361
113520.0, -91.77915
113521.0, -91.99446
113521.0, -91.95408
113521.0, -91.79002
113522.0, -91.90958
113522.0, -91.84701
113523.0, -91.6023
113523.0, -91.88436
113523.0, -91.84288
113524.0, -91.78972
113524.0, -91.73454
113525.0, -91.67733
113525.0, -91.32241
113525.0, -91.13449
113526.0, -91.0843
113526.0, -91.09661
113527.0, -91.1591
113527.0, -91.27176
113527.0, -91.00274
113528.0, -91.05441
113528.0, -91.45896
113529.0, -91.55899
113529.0, -91.70293
113529.0, -91.89077
113530.0, -91.34585
113530.0, -90.79936
113531.0, -90.48864
113531.0, -90.34603
113531.0, -90.37154
113532.0, -90.3723
113532.0, -90.78619
113533.0, -90.70098
113533.0, -90.67249
113533.0, -90.5903
113534.0, -90.45442
113534.0, -90.06197
113535.0, -90.19835
113535.0, -89.96265
113535.0, -89.9187
113536.0, -90.06647
113536.0, -89.90359
113537.0, -89.74615
113537.0, -89.88644
113537.0, -89.26424
113538.0, -88.97381
113538.0, -89.01513
113539.0, -88.93667
113539.0, -89.1119
113539.0, -88.90262
113540.0, -88.78434
113540.0, -88.75707
113541.0, -88.86513
113541.0, -89.12909
113541.0, -89.3309
113542.0, -89.52583
113542.0, -89.69711
113543.0, -89.84475
113543.0, -90.06889
113543.0, -89.99199
113544.0, -89.6443
113544.0, -89.52063
113545.0, -89.62099
113545.0, -89.74161
113545.0, -89.7073
113546.0, -89.99764
113546.0, -90.11865
113547.0, -90.07601
113547.0, -89.86971
113547.0, -89.56757
113548.0, -89.62829
113548.0, -90.04473
113549.0, -90.25049
113549.0, -90.24556
113549.0, -90.26947
113550.0, -90.44414
113550.0, -90.64421
113551.0, -90.79379
113551.0, -90.89081
113551.0, -90.93527
113552.0, -91.1046
113552.0, -91.04817
113553.0, -91.10897
113553.0, -91.15668
113553.0, -91.1913
113554.0, -91.44805
113554.0, -91.26225
113555.0, -90.98401
113555.0, -90.77397
113555.0, -90.70115
113556.0, -90.76556
113556.0, -90.4841
113557.0, -90.42911
113557.0, -90.53199
113557.0, -90.75097
113558.0, -91.08604
113558.0, -91.16676
113559.0, -91.49807
113559.0, -91.83247
113559.0, -92.19334
113560.0, -92.23713
113560.0, -91.96384
113561.0, -91.91378
113561.0, -91.93871
113561.0, -92.03968
113562.0, -92.05691
113562.0, -92.18787
113563.0, -92.43255
113563.0, -92.83753
113563.0, -92.87731
113564.0, -92.88041
113564.0, -93.02348
113565.0, -93.30653
113565.0, -93.24272
113565.0, -92.7273
113566.0, -92.19958
113566.0, -92.01038
113567.0, -91.93833
113567.0, -91.98342
113567.0, -91.9376
113568.0, -92.00312
113568.0, -91.97459
113569.0, -91.8846
113569.0, -91.73316
113569.0, -91.52091
113570.0, -91.60099
113570.0, -91.51144
113571.0, -91.50376
113571.0, -91.36
113571.0, -91.08018
113572.0, -90.98019
113572.0, -90.98673
113573.0, -91.2068
113573.0, -91.3328
113573.0, -91.36474
113574.0, -91.6485
113574.0, -91.92453
113575.0, -92.14005
113575.0, -92.02999
113575.0, -91.99618
113576.0, -92.03861
113576.0, -92.10477
113577.0, -92.13436
113577.0, -92.10846
113577.0, -92.0325
113578.0, -91.90648
113578.0, -91.82967
113579.0, -91.86181
113579.0, -92.14523
113579.0, -92.202
113580.0, -92.21288
113580.0, -92.17788
113581.0, -92.44818
113581.0, -92.6502
113581.0, -92.58897
113582.0, -92.52009
113582.0, -92.44355
113583.0, -92.25885
113583.0, -92.14387
113583.0, -92.12226
113584.0, -92.38253
113584.0, -92.56788
113585.0, -92.67831
113585.0, -92.79902
113585.0, -93.08298
113586.0, -93.05055
113586.0, -92.94696
113587.0, -92.77222
113587.0, -92.66132
113587.0, -92.5038
113588.0, -92.58341
113588.0, -92.66922
113589.0, -92.70982
113589.0, -92.70522
113589.0, -92.94996
113590.0, -92.7217
113590.0, -92.49081
113591.0, -92.35315
113591.0, -92.30874
113591.0, -92.14391
113592.0, -92.13512
113592.0, -92.3357
113593.0, -92.54439
113593.0, -92.69478
113593.0, -92.78687
113594.0, -92.98906
113594.0, -93.36063
113595.0, -93.55832
113595.0, -93.68207
113595.0, -93.73189
113596.0, -93.41773
113596.0, -93.2524
113597.0, -93.25711
113597.0, -92.99242
113597.0, -92.83608
113598.0, -92.7881
113598.0, -92.58405
113599.0, -92.71393
113599.0, -92.9486
113599.0, -93.05033
113600.0, -93.00309
113600.0, -92.80687
113601.0, -92.27575
113601.0, -91.99259
113601.0, -92.0159
113602.0, -92.06122
113602.0, -92.12854
113603.0, -92.18382
113603.0, -92.19351
113603.0, -92.20803
113604.0, -91.88559
113604.0, -91.83276
113605.0, -92.04953
113605.0, -92.4886
113605.0, -92.59827
113606.0, -92.55483
113606.0, -92.4422
113607.0, -92.26038
113607.0, -92.08961
113607.0, -91.79787
113608.0, -91.94631
113608.0, -92.30424
113609.0, -92.48554
113609.0, -92.49021
113609.0, -92.57844
113610.0, -92.56982
113610.0, -92.57403
113611.0, -92.47756
113611.0, -92.28042
113611.0, -91.9762
113612.0, -91.48112
113612.0, -91.25635
113613.0, -91.32339
113613.0, -91.40995
113613.0, -91.51603
113614.0, -91.94673
113614.0, -91.61907
113615.0, -91.46762
113615.0, -91.41836
113615.0, -91.47127
113616.0, -91.8523
113616.0, -92.24497
113617.0, -92.20934
113617.0, -92.20157
113617.0, -92.18749
113618.0, -92.1671
113618.0, -91.99577
113619.0, -91.97382
113619.0, -91.84046
113619.0, -91.78982
113620.0, -91.8219
113620.0, -91.64383
113621.0, -91.79358
113621.0, -91.95837
113621.0, -92.04133
113622.0, -92.10063
113622.0, -92.13627
113623.0, -92.50809
113623.0, -92.70552
113623.0, -92.73567
113624.0, -92.65226
113624.0, -92.45531
113625.0, -92.12774
113625.0, -91.98465
113625.0, -91.56074
113626.0, -91.37778
113626.0, -91.33095
113627.0, -91.42024
113627.0, -91.74246
113627.0, -91.67206
113628.0, -91.595
113628.0, -91.53338
113629.0, -91.4872
113629.0, -91.5708
113629.0, -91.593
113630.0, -91.88861
113630.0, -91.83957
113631.0, -91.81364
113631.0, -91.81082
113631.0, -91.88224
113632.0, -91.95302
113632.0, -91.39672
113633.0, -91.16637
113633.0, -91.08917
113633.0, -91.1651
113634.0, -91.43289
113634.0, -91.81634
113635.0, -92.13364
113635.0, -92.32724
113635.0, -92.39714
113636.0, -92.01789
113636.0, -92.07615
113637.0, -92.17126
113637.0, -92.1555
113637.0, -92.0855
113638.0, -91.96125
113638.0, -91.67478
113639.0, -91.78475
113639.0, -91.45612
113639.0, -91.36313
113640.0, -91.50579
113640.0, -91.42784
113641.0, -91.59152
113641.0, -91.61742
113641.0, -91.55882
113642.0, -91.45014
113642.0, -91.29137
113643.0, -91.10302
113643.0, -91.06248
113643.0, -91.09118
113644.0, -91.14316
113644.0, -91.21843
113645.0, -91.57462
113645.0, -91.10035
113645.0, -90.98788
113646.0, -91.1068
113646.0, -91.12315
113647.0, -91.03692
113647.0, -91.08948
113647.0, -91.40699
113648.0, -91.67656
113648.0, -91.88017
113649.0, -92.01781
113649.0, -91.91926
113649.0, -91.89769
113650.0, -91.80908
113650.0, -91.87909
113651.0, -91.98899
113651.0, -92.13878
113651.0, -92.35196
113652.0, -92.39098
113652.0, -92.62141
113653.0, -92.61995
113653.0, -92.38661
113653.0, -92.32712
113654.0, -92.18255
113654.0, -92.33061
113655.0, -92.49811
113655.0, -92.61658
113655.0, -92.68603
113656.0, -92.86699
113656.0, -92.89697
113657.0, -92.79103
113657.0, -92.75559
113657.0, -92.79065
113658.0, -92.99811
113658.0, -92.7887
113659.0, -92.39621
113659.0, -92.27889
113659.0, -92.27064
