% Measurement ID: 3234
% Mode ID: 1
% Date and time: 2020-02-03 15:52:52
% Sample ID: PSE2-58-41
% Measurement type: spectrum
% Frequency [Hz]: 111329.70040262364
% Quality factor: 3872.972941814131
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
111175.0, -96.89817
111175.0, -97.05358
111176.0, -97.33779
111176.0, -97.75073
111177.0, -97.92036
111177.0, -97.90984
111177.0, -97.71916
111178.0, -97.51922
111178.0, -97.51551
111179.0, -97.29301
111179.0, -96.9827
111179.0, -96.8082
111180.0, -96.76954
111180.0, -96.61421
111181.0, -97.01485
111181.0, -96.97554
111181.0, -97.06666
111182.0, -97.28821
111182.0, -98.09918
111183.0, -97.90142
111183.0, -98.32202
111183.0, -97.53774
111184.0, -97.32292
111184.0, -97.67757
111185.0, -97.28215
111185.0, -97.1775
111185.0, -97.26565
111186.0, -97.32199
111186.0, -97.34655
111187.0, -97.64129
111187.0, -97.78676
111187.0, -97.84266
111188.0, -97.80781
111188.0, -97.74049
111189.0, -97.6407
111189.0, -97.87532
111189.0, -97.7152
111190.0, -97.63969
111190.0, -97.53501
111191.0, -97.40119
111191.0, -97.06444
111191.0, -97.04491
111192.0, -97.03203
111192.0, -96.59906
111193.0, -96.33272
111193.0, -96.23302
111193.0, -96.24724
111194.0, -96.15506
111194.0, -96.62726
111195.0, -97.02942
111195.0, -97.36153
111195.0, -97.80747
111196.0, -97.50844
111196.0, -97.87751
111197.0, -98.05464
111197.0, -98.03264
111197.0, -97.81151
111198.0, -97.42493
111198.0, -96.86172
111199.0, -96.4418
111199.0, -96.29632
111199.0, -96.4253
111200.0, -96.33261
111200.0, -96.4088
111201.0, -96.45973
111201.0, -96.81609
111201.0, -97.11021
111202.0, -97.34209
111202.0, -97.22103
111203.0, -97.20714
111203.0, -97.3878
111203.0, -97.50257
111204.0, -97.55146
111204.0, -97.01637
111205.0, -97.05838
111205.0, -97.34402
111205.0, -96.98935
111206.0, -96.97214
111206.0, -97.29242
111207.0, -97.40127
111207.0, -97.66149
111207.0, -98.17107
111208.0, -98.26968
111208.0, -97.95732
111209.0, -98.17856
111209.0, -98.05456
111209.0, -97.68683
111210.0, -97.53555
111210.0, -97.41205
111211.0, -97.31633
111211.0, -96.85254
111211.0, -96.65689
111212.0, -96.75825
111212.0, -96.61859
111213.0, -96.57902
111213.0, -96.63955
111213.0, -96.94271
111214.0, -97.00425
111214.0, -97.05981
111215.0, -97.02468
111215.0, -96.89885
111215.0, -97.18693
111216.0, -97.58934
111216.0, -98.23977
111217.0, -98.41925
111217.0, -98.26732
111217.0, -97.78398
111218.0, -97.02698
111218.0, -96.73182
111219.0, -96.41124
111219.0, -96.14583
111219.0, -95.93558
111220.0, -95.61669
111220.0, -95.65861
111221.0, -95.69052
111221.0, -95.70256
111221.0, -95.78096
111222.0, -95.92573
111222.0, -96.32158
111223.0, -97.01713
111223.0, -97.30462
111223.0, -97.33041
111224.0, -97.09449
111224.0, -97.18735
111225.0, -97.27432
111225.0, -97.64196
111225.0, -97.38544
111226.0, -97.30608
111226.0, -97.40388
111227.0, -97.77767
111227.0, -98.89869
111227.0, -98.71382
111228.0, -98.54228
111228.0, -98.38406
111229.0, -98.07922
111229.0, -97.77464
111229.0, -97.44951
111230.0, -97.43478
111230.0, -97.54228
111231.0, -97.77203
111231.0, -97.8217
111231.0, -97.63952
111232.0, -97.21353
111232.0, -97.06489
111233.0, -97.19358
111233.0, -96.82005
111233.0, -96.89489
111234.0, -97.06368
111234.0, -96.65833
111235.0, -96.50275
111235.0, -96.59695
111235.0, -97.17464
111236.0, -97.21572
111236.0, -97.01856
111237.0, -97.07297
111237.0, -97.37896
111237.0, -97.5491
111238.0, -96.98472
111238.0, -96.7889
111239.0, -96.78595
111239.0, -96.74927
111239.0, -96.67887
111240.0, -96.55023
111240.0, -96.85482
111241.0, -97.38797
111241.0, -97.5782
111241.0, -97.42552
111242.0, -97.53109
111242.0, -97.5092
111243.0, -97.44639
111243.0, -97.62268
111243.0, -97.70493
111244.0, -97.69314
111244.0, -98.09118
111245.0, -97.91455
111245.0, -97.89443
111245.0, -97.97149
111246.0, -98.14573
111246.0, -98.58291
111247.0, -98.70077
111247.0, -98.78218
111247.0, -98.28211
111248.0, -97.94812
111248.0, -97.78019
111249.0, -97.23105
111249.0, -97.45885
111249.0, -96.50452
111250.0, -96.22544
111250.0, -96.16962
111251.0, -96.33707
111251.0, -96.57288
111251.0, -96.66161
111252.0, -96.52497
111252.0, -96.541
111253.0, -96.70968
111253.0, -96.94809
111253.0, -97.04137
111254.0, -97.1195
111254.0, -97.54085
111255.0, -97.71085
111255.0, -97.6295
111255.0, -97.26001
111256.0, -97.09357
111256.0, -97.10695
111257.0, -97.12564
111257.0, -97.14964
111257.0, -97.27928
111258.0, -96.83579
111258.0, -96.56463
111259.0, -96.2725
111259.0, -96.22277
111259.0, -96.41545
111260.0, -96.64292
111260.0, -96.50932
111261.0, -96.55755
111261.0, -96.6265
111261.0, -96.71616
111262.0, -97.20672
111262.0, -97.46719
111263.0, -97.65332
111263.0, -97.32256
111263.0, -97.1392
111264.0, -97.10325
111264.0, -96.91307
111265.0, -96.82249
111265.0, -96.53516
111265.0, -96.34872
111266.0, -96.26315
111266.0, -96.02962
111267.0, -96.24707
111267.0, -96.4945
111267.0, -96.68981
111268.0, -96.83559
111268.0, -96.93185
111269.0, -97.1589
111269.0, -97.2776
111269.0, -97.09963
111270.0, -96.8815
111270.0, -96.62322
111271.0, -96.54055
111271.0, -96.7346
111271.0, -96.88378
111272.0, -97.29057
111272.0, -97.58825
111273.0, -97.77683
111273.0, -97.28568
111273.0, -97.26379
111274.0, -97.03902
111274.0, -96.77978
111275.0, -96.48608
111275.0, -96.4104
111275.0, -96.25474
111276.0, -96.28706
111276.0, -95.94703
111277.0, -95.81048
111277.0, -95.87741
111277.0, -95.83549
111278.0, -95.91849
111278.0, -95.80047
111279.0, -95.76819
111279.0, -95.82168
111279.0, -96.17973
111280.0, -96.6409
111280.0, -96.05589
111281.0, -96.19496
111281.0, -96.12284
111281.0, -95.83953
111282.0, -94.80572
111282.0, -94.56116
111283.0, -94.96374
111283.0, -95.25696
111283.0, -95.45858
111284.0, -95.56862
111284.0, -95.52425
111285.0, -95.61997
111285.0, -96.14555
111285.0, -96.47671
111286.0, -96.61345
111286.0, -95.88061
111287.0, -95.44006
111287.0, -95.16671
111287.0, -95.27674
111288.0, -95.43555
111288.0, -95.64312
111289.0, -96.0345
111289.0, -95.82909
111289.0, -96.14462
111290.0, -96.23394
111290.0, -96.09705
111291.0, -96.39625
111291.0, -96.3875
111291.0, -95.65449
111292.0, -95.45791
111292.0, -95.52605
111293.0, -95.85889
111293.0, -95.6395
111293.0, -95.21015
111294.0, -95.28575
111294.0, -95.28631
111295.0, -95.21183
111295.0, -95.228
111295.0, -95.40866
111296.0, -95.4484
111296.0, -94.8862
111297.0, -94.58066
111297.0, -94.53178
111297.0, -94.42797
111298.0, -94.4374
111298.0, -94.41493
111299.0, -94.41762
111299.0, -94.44548
111299.0, -94.24773
111300.0, -93.74388
111300.0, -93.4291
111301.0, -93.28851
111301.0, -93.26934
111301.0, -93.3716
111302.0, -93.47094
111302.0, -93.67004
111303.0, -93.45032
111303.0, -93.40528
111303.0, -93.53492
111304.0, -93.69513
111304.0, -93.82907
111305.0, -93.64967
111305.0, -93.61936
111305.0, -93.64984
111306.0, -93.7411
111306.0, -93.86771
111307.0, -94.1558
111307.0, -94.65351
111307.0, -94.87963
111308.0, -94.83417
111308.0, -94.40491
111309.0, -94.03466
111309.0, -93.82091
111309.0, -93.723
111310.0, -93.67964
111310.0, -93.69084
111311.0, -93.73066
111311.0, -93.67274
111311.0, -93.31065
111312.0, -93.15095
111312.0, -93.19363
111313.0, -92.99689
111313.0, -93.00219
111313.0, -93.19363
111314.0, -92.76453
111314.0, -92.55968
111315.0, -92.57907
111315.0, -92.92735
