% Measurement ID: 3157
% Mode ID: 1
% Date and time: 2020-02-03 17:37:14
% Sample ID: PSE2-68
% Measurement type: spectrum
% Frequency [Hz]: 37866.91253589905
% Quality factor: 5833.688551602869
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
37853.88, -80.57413
37853.88, -80.35103
37853.88, -80.30065
37853.88, -80.36208
37853.88, -80.13027
37853.88, -79.74023
37853.88, -79.67675
37854.88, -79.62624
37854.88, -79.58869
37854.88, -79.79838
37854.88, -80.17721
37854.88, -79.95006
37854.88, -79.37531
37854.88, -79.09015
37855.88, -78.8822
37855.88, -78.73092
37855.88, -78.64316
37855.88, -78.72814
37855.88, -78.71929
37855.88, -78.61662
37855.88, -78.46061
37855.88, -78.23778
37856.88, -78.01643
37856.88, -77.7738
37856.88, -77.62442
37856.88, -77.53011
37856.88, -77.27344
37856.88, -76.92688
37856.88, -76.79825
37857.88, -76.63474
37857.88, -76.43636
37857.88, -76.30759
37857.88, -76.2136
37857.88, -76.2904
37857.88, -76.49265
37857.88, -76.35015
37857.88, -76.01963
37858.88, -75.9495
37858.88, -75.99028
37858.88, -75.49571
37858.88, -75.0841
37858.88, -74.75544
37858.88, -74.59536
37858.88, -74.57533
37859.88, -74.61695
37859.88, -74.74634
37859.88, -74.95564
37859.88, -75.24748
37859.88, -75.22642
37859.88, -75.02427
37859.88, -74.41504
37859.88, -73.88528
37860.88, -73.435
37860.88, -73.12434
37860.88, -72.93325
37860.88, -72.75246
37860.88, -72.61839
37860.88, -72.23999
37860.88, -71.71428
37861.88, -71.41899
37861.88, -71.22819
37861.88, -71.01082
37861.88, -70.94338
37861.88, -71.02586
37861.88, -70.99369
37861.88, -70.93506
37861.88, -70.70063
37862.88, -70.34019
37862.88, -70.11834
37862.88, -69.94687
37862.88, -69.76337
37862.88, -69.58863
37862.88, -69.14935
37862.88, -69.02234
37863.88, -69.20761
37863.88, -69.14453
37863.88, -69.01998
37863.88, -68.58884
37863.88, -67.9328
37863.88, -67.49354
37863.88, -67.12382
37863.88, -66.85797
37864.88, -66.68454
37864.88, -66.56011
37864.88, -66.35825
37864.88, -66.07896
37864.88, -65.51195
37864.88, -64.72732
37864.88, -64.19962
37865.88, -63.77068
37865.88, -63.50714
37865.88, -63.38679
37865.88, -63.0203
37865.88, -62.53746
37865.88, -61.95882
37865.88, -61.77858
37865.88, -61.99676
37866.88, -62.07866
37866.88, -62.20251
37866.88, -62.40319
37866.88, -62.66907
37866.88, -62.6246
37866.88, -62.39496
37866.88, -62.25761
37867.88, -62.12006
37867.88, -62.17035
37867.88, -62.32241
37867.88, -62.57624
37867.88, -62.81981
37867.88, -63.09045
37867.88, -63.24679
37867.88, -63.33594
37868.88, -63.67498
37868.88, -64.15822
37868.88, -64.56906
37868.88, -64.97971
37868.88, -65.29529
37868.88, -65.6735
37868.88, -66.11432
37869.88, -66.38084
37869.88, -66.55203
37869.88, -66.97407
37869.88, -67.53157
37869.88, -67.92673
37869.88, -68.25882
37869.88, -68.8965
37869.88, -69.71688
37870.88, -70.6857
37870.88, -71.07436
37870.88, -70.88286
37870.88, -70.96402
37870.88, -71.03355
37870.88, -70.90113
37870.88, -70.63019
37871.88, -70.62996
37871.88, -70.76404
37871.88, -71.36581
37871.88, -71.64512
37871.88, -71.60198
37871.88, -71.71699
