% Measurement ID: 1050
% Mode ID: 1
% Date and time: 2019-06-12 09:25:22
% Sample ID: SP39-24
% Measurement type: ringdown
% Frequency [Hz]: 1578392.6
% Quality factor: 2184881.0791641003
% Temperature [K]: 293.0
% Pressure [mBar]: 3.27e-07
% Notes: 
% 
%
% measurement data
% time [s], power [dBm]
0.003, -49.1178092956543
0.006, -49.1303062438965
0.009, -49.1427993774414
0.012, -49.1560287475586
0.015, -49.1685218811035
0.018, -49.1810150146484
0.021, -49.1935081481934
0.024, -49.2067375183105
0.027, -49.2192306518555
0.03, -49.2331962585449
0.033, -49.2464256286621
0.036, -49.2603874206543
0.039, -49.275089263916
0.042, -49.2897872924805
0.045, -49.3052215576172
0.048, -49.3221244812012
0.051, -49.3390274047852
0.054, -49.3566665649414
0.057, -49.3750381469727
0.06, -49.3948822021484
0.063, -49.4154586791992
0.066, -49.4360389709473
0.069, -49.4580879211426
0.072, -49.4816055297852
0.075, -49.5051231384277
0.078, -49.5293769836426
0.081, -49.5550994873047
0.084, -49.5808219909668
0.087, -49.6080131530762
0.09, -49.6352081298828
0.093, -49.6631355285645
0.096, -49.6910629272461
0.099, -49.720458984375
0.102, -49.7491226196289
0.105, -49.7792549133301
0.108, -49.808650970459
0.111, -49.8387832641602
0.114, -49.8696517944336
0.117, -49.8997840881348
0.12, -49.9299163818359
0.123, -49.9600486755371
0.126, -49.9901809692383
0.129, -50.0210494995117
0.132, -50.0504455566406
0.135, -50.0798416137695
0.138, -50.1092414855957
0.141, -50.1386375427246
0.144, -50.1665649414063
0.147, -50.1952285766602
0.15, -50.2224197387695
0.153, -50.2496147155762
0.156, -50.2760696411133
0.159, -50.3017921447754
0.162, -50.3267822265625
0.165, -50.3517684936523
0.168, -50.3760223388672
0.171, -50.3995399475098
0.174, -50.4215888977051
0.177, -50.4436378479004
0.18, -50.4649505615234
0.183, -50.4847946166992
0.186, -50.5046348571777
0.189, -50.5230102539063
0.192, -50.5406494140625
0.195, -50.5575523376465
0.198, -50.5729866027832
0.201, -50.5876846313477
0.204, -50.6016464233398
0.207, -50.614143371582
0.21, -50.6251640319824
0.213, -50.6361885070801
0.216, -50.6450080871582
0.219, -50.6530952453613
0.222, -50.6597061157227
0.225, -50.664852142334
0.228, -50.6685256958008
0.231, -50.6714668273926
0.234, -50.6729354858398
0.237, -50.6714668273926
0.24, -50.669261932373
0.243, -50.6655883789063
0.246, -50.6604423522949
0.249, -50.6538276672363
0.252, -50.6457443237305
0.255, -50.6369247436523
0.258, -50.626636505127
0.261, -50.614875793457
0.264, -50.6023826599121
0.267, -50.5891532897949
0.27, -50.5744552612305
0.273, -50.5582847595215
0.276, -50.5421180725098
0.279, -50.5244789123535
0.282, -50.5061073303223
0.285, -50.4869995117188
0.288, -50.4664192199707
0.291, -50.4458427429199
0.294, -50.4252624511719
0.297, -50.4039497375488
0.3, -50.3819007873535
0.303, -50.3598518371582
0.306, -50.3370704650879
0.309, -50.3142890930176
0.312, -50.29150390625
0.315, -50.2687225341797
0.318, -50.2452049255371
0.321, -50.2224197387695
0.324, -50.198902130127
0.327, -50.1761207580566
0.33, -50.1533355712891
0.333, -50.1305541992188
0.336, -50.1077690124512
0.339, -50.0849876403809
0.342, -50.0629386901855
0.345, -50.0408897399902
0.348, -50.0188446044922
0.351, -49.9975280761719
0.354, -49.9754829406738
0.357, -49.9549026489258
0.36, -49.9335899353027
0.363, -49.913013458252
0.366, -49.8924331665039
0.369, -49.8725891113281
0.372, -49.8527488708496
0.375, -49.8329048156738
0.378, -49.8137969970703
0.381, -49.7946891784668
0.384, -49.7763137817383
0.387, -49.757942199707
0.39, -49.7403030395508
0.393, -49.7234001159668
0.396, -49.7064933776855
0.399, -49.6910629272461
0.402, -49.6756286621094
0.405, -49.6609306335449
0.408, -49.6469650268555
0.411, -49.6337356567383
0.414, -49.6212425231934
0.417, -49.6094818115234
0.42, -49.598461151123
0.423, -49.5881690979004
0.426, -49.5786170959473
0.429, -49.5690612792969
0.432, -49.560977935791
0.435, -49.5528945922852
0.438, -49.5455436706543
0.441, -49.5389289855957
0.444, -49.5330505371094
0.447, -49.527172088623
0.45, -49.5220260620117
0.453, -49.5168800354004
0.456, -49.5117378234863
0.459, -49.506591796875
0.462, -49.5014495849609
0.465, -49.4970397949219
0.468, -49.4918937683105
0.471, -49.4860153198242
