% Measurement ID: 3228
% Mode ID: 1
% Date and time: 2020-02-03 15:13:36
% Sample ID: PSE2-58-21
% Measurement type: spectrum
% Frequency [Hz]: 111426.77547472664
% Quality factor: 1608.7001006825635
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
111307.0, -86.66007
111308.0, -86.57818
111309.0, -86.51555
111311.0, -86.46596
111312.0, -86.33565
111313.0, -86.15588
111315.0, -86.31499
111316.0, -86.37317
111317.0, -86.33043
111319.0, -86.41522
111320.0, -86.55139
111321.0, -86.51944
111323.0, -86.39254
111324.0, -86.34428
111325.0, -86.31679
111327.0, -86.33106
111328.0, -86.38009
111329.0, -85.7821
111331.0, -85.47998
111332.0, -85.47374
111333.0, -85.43226
111335.0, -85.46591
111336.0, -85.4838
111337.0, -85.51623
111339.0, -85.66663
111340.0, -85.90052
111341.0, -85.93945
111343.0, -85.87624
111344.0, -86.37134
111345.0, -86.64809
111347.0, -86.70649
111348.0, -87.01648
111349.0, -87.42141
111351.0, -87.62042
111352.0, -87.7138
111353.0, -87.6609
111355.0, -87.47525
111356.0, -87.39045
111357.0, -87.32863
111359.0, -87.28812
111360.0, -87.11954
111361.0, -86.82289
111363.0, -86.62981
111364.0, -86.4631
111365.0, -86.35127
111367.0, -86.28481
111368.0, -86.32137
111369.0, -86.44172
111371.0, -86.60132
111372.0, -86.81502
111373.0, -86.35207
111375.0, -86.08126
111376.0, -86.00258
111377.0, -85.70861
111379.0, -85.33517
111380.0, -85.13964
111381.0, -85.03622
111383.0, -84.84544
111384.0, -84.62712
111385.0, -84.48235
111387.0, -84.37744
111388.0, -84.18529
111389.0, -84.25239
111391.0, -84.57873
111392.0, -84.72766
111393.0, -84.84473
111395.0, -84.92233
111396.0, -84.96298
111397.0, -84.85198
111399.0, -84.62756
111400.0, -84.35294
111401.0, -84.00705
111403.0, -83.70242
111404.0, -83.53277
111405.0, -83.49809
111407.0, -83.49012
111408.0, -83.54494
111409.0, -83.50522
111411.0, -83.4234
111412.0, -83.28582
111413.0, -83.09704
111415.0, -83.01984
111416.0, -82.99996
111417.0, -83.01214
111419.0, -83.17628
111420.0, -83.49237
111421.0, -83.50595
111423.0, -83.3685
111424.0, -83.29473
111425.0, -83.21308
111427.0, -83.18533
111428.0, -83.19087
111429.0, -83.15378
111431.0, -83.09937
111432.0, -83.33674
111433.0, -83.37177
111435.0, -83.20446
111436.0, -83.3318
111437.0, -83.58814
111439.0, -83.44443
111440.0, -83.07702
111441.0, -82.93422
111443.0, -82.86658
111444.0, -82.98757
111445.0, -83.25936
111447.0, -83.38763
111448.0, -83.47881
111449.0, -83.53289
111451.0, -83.64862
111452.0, -83.79308
111453.0, -83.85584
111455.0, -83.87371
111456.0, -84.09737
111457.0, -84.44324
111459.0, -84.84089
111460.0, -85.31379
111461.0, -85.76974
111463.0, -85.84933
111464.0, -85.55257
111465.0, -85.45336
111467.0, -85.36042
111468.0, -85.36742
111469.0, -85.44312
111471.0, -85.62889
111472.0, -85.91095
111473.0, -86.07182
111475.0, -86.18399
111476.0, -85.45069
111477.0, -85.2174
111479.0, -85.48412
111480.0, -85.58505
111481.0, -85.74212
111483.0, -86.01993
111484.0, -86.39694
111485.0, -86.64923
111487.0, -86.85144
111488.0, -87.06417
111489.0, -87.25167
111491.0, -87.41393
111492.0, -87.36796
111493.0, -87.17476
111495.0, -86.95783
111496.0, -86.67601
111497.0, -86.47535
111499.0, -86.30716
111500.0, -86.11772
111501.0, -85.92494
111503.0, -86.06091
111504.0, -86.05976
111505.0, -85.9215
111507.0, -85.97432
111508.0, -86.10881
111509.0, -86.24428
111511.0, -86.40763
111512.0, -86.57383
111513.0, -86.75123
111515.0, -86.76439
111516.0, -86.67179
111517.0, -86.28191
111519.0, -85.95805
111520.0, -85.70019
111521.0, -85.43283
111523.0, -85.18112
111524.0, -85.19477
111525.0, -85.39055
111527.0, -85.34281
111528.0, -85.19344
111529.0, -85.03373
111531.0, -84.83325
111532.0, -84.78539
111533.0, -84.81185
111535.0, -84.91261
111536.0, -85.18118
111537.0, -85.58639
111539.0, -85.49535
111540.0, -85.11901
111541.0, -84.94188
111543.0, -84.80246
111544.0, -84.537
111545.0, -84.20007
111547.0, -83.9781
111548.0, -83.75056
111549.0, -83.51745
111551.0, -83.29769
111552.0, -83.08499
111553.0, -83.00429
111555.0, -83.01394
111556.0, -82.96542
111557.0, -82.90824
111559.0, -83.00129
111560.0, -83.19162
111561.0, -83.49571
111563.0, -83.7688
111564.0, -84.01087
111565.0, -84.07844
111567.0, -84.01932
111568.0, -84.11732
111569.0, -84.27784
111571.0, -84.36016
111572.0, -84.41118
111573.0, -84.45298
111575.0, -84.47822
111576.0, -84.98343
111577.0, -85.4357
111579.0, -85.83502
111580.0, -86.03245
111581.0, -86.07762
111583.0, -86.10364
111584.0, -86.06614
111585.0, -86.11769
111587.0, -86.20744
111588.0, -86.13069
111589.0, -85.95568
111591.0, -86.04665
111592.0, -86.01893
111593.0, -85.8725
111595.0, -85.75408
111596.0, -85.61477
111597.0, -85.59956
111599.0, -85.66012
111600.0, -85.68275
111601.0, -85.70534
111603.0, -85.94499
111604.0, -86.32933
111605.0, -86.35396
111607.0, -86.42546
111608.0, -86.54382
111609.0, -86.6999
111611.0, -86.89675
111612.0, -87.03758
111613.0, -87.15466
111615.0, -87.20968
111616.0, -87.21541
111617.0, -87.24962
111619.0, -87.2864
111620.0, -86.73166
111621.0, -86.61332
111623.0, -86.93141
111624.0, -87.19752
111625.0, -87.57445
111627.0, -87.69153
111628.0, -87.67232
111629.0, -87.61707
111631.0, -87.49236
111632.0, -87.25935
111633.0, -86.93097
111635.0, -86.75391
111636.0, -86.72321
111637.0, -86.83886
111639.0, -86.98799
111640.0, -87.20824
111641.0, -87.2086
111643.0, -87.08608
111644.0, -86.83379
111645.0, -86.45404
111647.0, -86.38828
111648.0, -86.48936
111649.0, -86.51413
111651.0, -86.63105
111652.0, -86.84013
111653.0, -86.92438
111655.0, -86.95613
111656.0, -86.83766
111657.0, -86.60154
111659.0, -86.50604
111660.0, -86.46508
111661.0, -85.9479
111663.0, -85.8152
111664.0, -86.06698
111665.0, -86.13861
111667.0, -86.2183
111668.0, -86.30686
111669.0, -86.40402
111671.0, -86.50782
111672.0, -86.61891
111673.0, -86.62535
111675.0, -86.56445
111676.0, -86.61376
111677.0, -86.76707
111679.0, -87.02436
111680.0, -87.04695
111681.0, -86.94773
111683.0, -86.8534
111684.0, -86.72171
111685.0, -86.49165
111687.0, -86.18355
111688.0, -85.96445
111689.0, -85.77867
111691.0, -85.99941
111692.0, -86.3781
111693.0, -86.91474
111695.0, -87.21055
111696.0, -87.39845
111697.0, -87.29801
111699.0, -86.96937
111700.0, -86.99878
111701.0, -87.19082
111703.0, -87.45681
111704.0, -87.82633
111705.0, -88.38345
111707.0, -88.61031
111708.0, -88.50689
111709.0, -88.4816
111711.0, -88.39832
111712.0, -88.35884
111713.0, -88.32922
111715.0, -88.07761
111716.0, -87.6813
111717.0, -87.2063
111719.0, -86.63061
111720.0, -86.35995
111721.0, -86.33345
111723.0, -86.55112
111724.0, -86.57012
111725.0, -86.53806
111727.0, -86.65361
111728.0, -86.85056
111729.0, -86.95734
111731.0, -87.03113
111732.0, -87.25448
111733.0, -87.56653
111735.0, -87.93767
111736.0, -88.24921
111737.0, -88.50117
111739.0, -88.2886
111740.0, -87.74649
111741.0, -87.34551
111743.0, -86.92877
111744.0, -86.68504
111745.0, -86.55139
111747.0, -86.51878
111748.0, -86.59023
111749.0, -86.7815
111751.0, -86.76591
111752.0, -86.54347
111753.0, -86.56705
111755.0, -86.68569
111756.0, -86.88452
111757.0, -87.16851
111759.0, -87.32006
111760.0, -87.41169
111761.0, -87.42993
111763.0, -87.37927
111764.0, -87.50442
111765.0, -87.42236
111767.0, -87.1331
111768.0, -86.93356
111769.0, -86.72475
111771.0, -86.34995
111772.0, -85.86142
111773.0, -85.6837
111775.0, -85.6753
111776.0, -85.66798
111777.0, -85.71783
111779.0, -85.92564
111780.0, -86.09405
111781.0, -86.22305
111783.0, -86.32854
111784.0, -86.40521
111785.0, -86.5681
111787.0, -86.77886
111788.0, -86.93095
111789.0, -87.0599
111791.0, -87.08256
111792.0, -87.02665
111793.0, -87.31992
111795.0, -87.3123
111796.0, -87.00377
111797.0, -86.8309
111799.0, -86.64816
111800.0, -86.5755
111801.0, -86.57294
111803.0, -86.5934
111804.0, -86.65256
111805.0, -86.79244
111807.0, -86.99902
111808.0, -86.70337
111809.0, -86.63441
111811.0, -86.79214
111812.0, -86.8645
111813.0, -86.95552
111815.0, -87.0543
111816.0, -87.16447
111817.0, -87.21261
111819.0, -87.22319
111820.0, -87.30754
111821.0, -87.42853
111823.0, -88.09999
111824.0, -88.33631
111825.0, -88.13751
111827.0, -88.01769
111828.0, -87.80548
111829.0, -87.63884
111831.0, -87.47178
111832.0, -87.34458
111833.0, -87.24382
111835.0, -87.55659
111836.0, -87.69636
111837.0, -87.66313
111839.0, -87.54027
111840.0, -87.3
111841.0, -87.17802
111843.0, -87.09576
111844.0, -87.03601
111845.0, -87.00452
111847.0, -86.979
111848.0, -86.96687
111849.0, -87.02933
111851.0, -87.19095
111852.0, -87.45172
111853.0, -87.55191
111855.0, -87.5781
111856.0, -87.57012
111857.0, -87.51471
111859.0, -87.49803
111860.0, -87.49135
111861.0, -87.36928
111863.0, -87.17362
111864.0, -87.14516
111865.0, -87.22722
111867.0, -87.41982
111868.0, -87.6324
111869.0, -87.89513
111871.0, -87.95454
111872.0, -87.89513
111873.0, -87.64167
111875.0, -87.21923
111876.0, -86.96899
111877.0, -86.77723
111879.0, -86.34116
111880.0, -86.08286
111881.0, -86.00231
111883.0, -86.00374
111884.0, -86.11906
111885.0, -86.25571
111887.0, -86.44454
111888.0, -86.36891
111889.0, -86.13437
111891.0, -86.15731
111892.0, -86.29893
111893.0, -86.04102
111895.0, -86.02095
111896.0, -86.23871
111897.0, -86.28297
111899.0, -86.29084
111900.0, -86.57932
111901.0, -87.04275
111903.0, -87.4348
111904.0, -87.83759
111905.0, -87.83451
111907.0, -87.56442
111908.0, -87.49337
111909.0, -87.48219
111911.0, -87.53085
111912.0, -87.5216
111913.0, -87.49368
111915.0, -87.50712
111916.0, -87.54189
111917.0, -87.35228
111919.0, -87.02018
111920.0, -86.75672
111921.0, -86.49152
111923.0, -86.4466
111924.0, -86.43552
111925.0, -86.45826
111927.0, -86.45343
111928.0, -86.4415
111929.0, -86.43066
111931.0, -86.41819
111932.0, -86.54195
111933.0, -86.75598
111935.0, -86.96962
111936.0, -87.21307
111937.0, -87.84313
111939.0, -88.03997
